model_name,evaluation_mode,accuracy,precision_score,recall_score,f1_score,roc_auc,pr_auc,fpr,fnr,tp,tn,fp,fn,true_anomalies,total_records,total_anomalies,anomaly_rate,score_mean,score_std,score_variance,training_time_seconds,prediction_time_seconds,created_at,best_result_for
DBSCAN,labeled,98.17,0.4359,0.34,0.382,0.9898,0.6307,0.0075,0.66,17,2928,22,33,50,3000,39,1.300,2.40768,1.667557,2.780747,0.442781,0.000323,2026-07-09 21:58:33.247287,prediction_time_seconds
ECOD,labeled,98.2,0.4667,0.56,0.5091,0.9889,0.5453,0.0108,0.44,28,2918,32,22,50,3000,60,2.000,0.211902,0.094738,0.008975,0.067843,0.033918,2026-07-09 21:41:50.622493,
Gaussian Mixture Model,labeled,98.1,0.4286,0.42,0.4242,0.9852,0.3966,0.0095,0.58,21,2922,28,29,50,3000,49,1.633,0.027961,0.049362,0.002437,0.020329,0.000931,2026-07-09 21:41:50.271470,
HBOS,labeled,95.57,0.2707,0.98,0.4242,0.9928,0.785,0.0447,0.02,49,2818,132,1,50,3000,181,6.033,0.354458,0.1245,0.0155,1.49483,0.004811,2026-07-09 21:41:50.518719,
Isolation Forest,labeled,98.57,0.5538,0.72,0.6261,0.9915,0.6737,0.0098,0.28,36,2921,29,14,50,3000,65,2.167,-0.141528,0.041451,0.001718,0.183695,0.097785,2026-07-09 21:41:49.680856,"score_std, score_variance"
K-Means Distance,labeled,98.93,0.6875,0.66,0.6735,0.9804,0.5303,0.0051,0.34,33,2935,15,17,50,3000,48,1.600,1.842128,1.052815,1.10842,0.40987,0.001813,2026-07-09 22:50:33.693957,
Local Outlier Factor,labeled,93.03,0.1045,0.42,0.1673,0.4413,0.2197,0.061,0.58,21,2770,180,29,50,3000,201,6.700,-0.372819,0.290867,0.084604,0.152264,0.439588,2026-07-10 08:51:14.891731,
One-Class SVM,labeled,93.53,0.2049,1.0,0.3401,0.9861,0.3914,0.0658,0.0,50,2756,194,0,50,3000,244,8.133,-0.823223,0.581995,0.338719,0.03116,0.075543,2026-07-09 21:41:49.941352,"recall_score, fnr"
PCA Reconstruction Error,labeled,97.97,0.4179,0.56,0.4786,0.97,0.4054,0.0132,0.44,28,2911,39,22,50,3000,67,2.233,0.409697,0.69855,0.487972,0.012368,0.001897,2026-07-09 21:41:50.414681,
Decision Tree,supervised,99.97,1.0,0.98,0.9899,0.99,0.9803,0.0,0.02,49,2950,0,1,50,3000,49,1.633,0.016333,0.126754,0.016067,0.008971,0.002095,2026-07-09 21:44:19.830081,"precision_score, fpr"
Gradient Boosting,supervised,100.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,50,2950,0,0,50,3000,50,1.667,0.016703,0.12365,0.015289,0.484624,0.008137,2026-07-09 21:44:24.760094,"accuracy, precision_score, recall_score, f1_score, roc_auc, pr_auc, fpr, fnr"
KNN Classifier,supervised,99.97,1.0,0.98,0.9899,1.0,1.0,0.0,0.02,49,2950,0,1,50,3000,49,1.633,0.016514,0.126562,0.016018,0.003351,0.378164,2026-07-09 21:44:27.082096,"precision_score, roc_auc, pr_auc, fpr, training_time_seconds"
Logistic Regression,supervised,94.97,0.241,0.94,0.3837,0.9743,0.2372,0.0502,0.06,47,2802,148,3,50,3000,195,6.500,0.186263,0.207436,0.04303,0.020424,0.000517,2026-07-09 21:44:17.738219,
Random Forest,supervised,99.97,1.0,0.98,0.9899,1.0,1.0,0.0,0.02,49,2950,0,1,50,3000,49,1.633,0.01853,0.105769,0.011187,0.169958,0.107058,2026-07-09 21:44:22.216885,"precision_score, roc_auc, pr_auc, fpr"
