model_name,evaluation_mode,accuracy,precision_score,recall_score,f1_score,roc_auc,pr_auc,fpr,fnr,tp,tn,fp,fn,true_anomalies,total_records,total_anomalies,anomaly_rate,score_mean,score_std,score_variance,training_time_seconds,prediction_time_seconds,created_at
DBSCAN,labeled,98.17,0.4359,0.34,0.382,0.9898,0.6307,0.0075,0.66,17,2928,22,33,50,3000,39,1.300,2.40768,1.667557,2.780747,0.409062,0.000254,2026-07-10 12:51:17.994963
ECOD,labeled,82.37,0.0864,1.0,0.159,0.9889,0.5453,0.1793,0.0,50,2421,529,0,50,3000,579,19.300,0.211902,0.094738,0.008975,0.068455,0.034008,2026-07-10 12:51:18.538168
Gaussian Mixture Model,labeled,75.1,0.0627,1.0,0.1181,0.9852,0.3966,0.2532,0.0,50,2203,747,0,50,3000,797,26.567,0.027961,0.049362,0.002437,0.026634,0.001043,2026-07-10 12:51:18.219687
HBOS,labeled,7.73,0.0177,1.0,0.0349,0.9928,0.785,0.9383,0.0,50,182,2768,0,50,3000,2818,93.933,0.354458,0.1245,0.0155,1.523219,0.004792,2026-07-10 12:51:18.409540
Isolation Forest,labeled,65.07,0.0455,1.0,0.0871,0.9915,0.6737,0.3553,0.0,50,1902,1048,0,50,3000,1098,36.600,0.001511,0.041451,0.001718,0.177978,0.097803,2026-07-10 12:51:17.683834
K-Means Distance,labeled,76.17,0.0642,0.98,0.1205,0.9804,0.5303,0.242,0.02,49,2236,714,1,50,3000,763,25.433,1.842128,1.052815,1.10842,0.361293,0.001145,2026-07-10 12:51:18.124528
Local Outlier Factor,labeled,1.7,0.0085,0.5,0.0167,0.4413,0.2197,0.9912,0.5,25,26,2924,25,50,3000,2949,98.300,0.325452,0.290867,0.084604,0.154281,0.441887,2026-07-10 12:51:17.796711
One-Class SVM,labeled,82.6,0.0874,1.0,0.1608,0.9936,0.5966,0.1769,0.0,50,2428,522,0,50,3000,572,19.067,-17.189928,75.001011,5625.15163,0.318558,0.769328,2026-07-10 12:51:17.893933
PCA Reconstruction Error,labeled,78.73,0.0714,0.98,0.1332,0.97,0.4054,0.2159,0.02,49,2313,637,1,50,3000,686,22.867,0.409697,0.69855,0.487972,0.012197,0.001486,2026-07-10 12:51:18.313354
Decision Tree,supervised,99.97,1.0,0.98,0.9899,0.99,0.9803,0.0,0.02,49,2950,0,1,50,3000,49,1.633,0.016333,0.126754,0.016067,0.013885,0.002289,2026-07-10 12:52:53.187643
Gradient Boosting,supervised,100.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,50,2950,0,0,50,3000,50,1.667,0.016703,0.12365,0.015289,0.486027,0.00728,2026-07-10 12:52:58.043931
KNN Classifier,supervised,99.97,1.0,0.98,0.9899,1.0,1.0,0.0,0.02,49,2950,0,1,50,3000,49,1.633,0.016514,0.126562,0.016018,0.003273,0.378693,2026-07-10 12:53:00.751715
Logistic Regression,supervised,94.97,0.241,0.94,0.3837,0.9743,0.2372,0.0502,0.06,47,2802,148,3,50,3000,195,6.500,0.186263,0.207436,0.04303,0.040877,0.00147,2026-07-10 12:52:51.076458
Random Forest,supervised,99.97,1.0,0.98,0.9899,1.0,1.0,0.0,0.02,49,2950,0,1,50,3000,49,1.633,0.01853,0.105769,0.011187,0.206585,0.109194,2026-07-10 12:52:55.566851
